SID,start_time,end_time,start_year,max_wind,n_track_points,mean_lat,mean_lon,peak_intensity
1958295N10149,1958-10-23 12:00:00,1958-11-03 00:00:00,1958,110.0,85,17.688235294117646,132.14352941176472,TY
1958325N11133,1958-11-21 06:00:00,1958-11-26 15:00:00,1958,140.0,44,17.13181818181818,131.61136363636362,STY
1958332N11139,1958-11-30 06:00:00,1958-12-04 00:00:00,1958,45.0,24,17.604166666666668,137.27083333333334,TS
1959058N09141,1959-02-27 00:00:00,1959-03-01 06:00:00,1959,50.0,19,8.463157894736844,135.32105263157894,TS
1959063N06165,1959-03-04 06:00:00,1959-03-13 00:00:00,1959,55.0,71,7.023943661971831,147.02394366197183,TS
1959190N08145,1959-07-12 00:00:00,1959-07-17 15:00:00,1959,90.0,46,23.180434782608696,125.17173913043477,TY
1959211N21148,1959-08-02 06:00:00,1959-08-09 21:00:00,1959,100.0,62,28.629032258064516,132.20322580645163,TY
1959231N16130,1959-08-19 00:00:00,1959-08-23 18:00:00,1959,90.0,38,19.95263157894737,121.91578947368421,TY
1959236N10132,1959-08-25 00:00:00,1959-08-27 18:00:00,1959,40.0,23,15.226086956521739,125.07391304347826,TS
1959236N12139,1959-08-25 06:00:00,1959-08-30 15:00:00,1959,170.0,44,19.37272727272727,130.4,STY
1959241N12148,1959-08-31 06:00:00,1959-09-06 09:00:00,1959,120.0,50,22.37,124.44,TY
1959248N13132,1959-09-05 12:00:00,1959-09-11 09:00:00,1959,50.0,42,18.79285714285714,120.6547619047619,TS
1959254N14148,1959-09-11 12:00:00,1959-09-18 15:00:00,1959,165.0,58,25.605172413793102,132.4448275862069,STY
1959274N09137,1959-10-03 06:00:00,1959-10-07 09:00:00,1959,65.0,31,22.612903225806452,127.14516129032258,TY
1959278N15118,1959-10-05 12:00:00,1959-10-09 21:00:00,1959,40.0,36,18.711111111111112,119.82499999999999,TS
1959281N09143,1959-10-09 00:00:00,1959-10-18 09:00:00,1959,145.0,76,19.525000000000002,129.34473684210528,STY
1959286N07168,1959-10-14 18:00:00,1959-10-25 12:00:00,1959,150.0,68,22.473529411764705,150.0205882352941,STY
1959305N06167,1959-11-05 06:00:00,1959-11-13 03:00:00,1959,110.0,64,16.759375,134.146875,TY
1959317N09137,1959-11-13 00:00:00,1959-11-19 03:00:00,1959,115.0,50,14.9,126.368,TY
1959346N06147,1959-12-13 00:00:00,1959-12-22 12:00:00,1959,150.0,77,10.589610389610389,125.36623376623378,STY
1959356N05152,1959-12-24 00:00:00,1960-01-02 09:00:00,1959,130.0,76,10.825000000000001,134.68026315789476,STY
1960112N09127,1960-04-22 00:00:00,1960-04-26 12:00:00,1960,75.0,37,15.25135135135135,120.57027027027029,TY
1960146N08131,1960-05-25 06:00:00,1960-05-31 15:00:00,1960,45.0,50,16.162,128.156,TS
1960154N12137,1960-06-03 18:00:00,1960-06-11 03:00:00,1960,60.0,60,25.475,136.20333333333332,TS
