SID,start_time,end_time,start_year,max_wind,n_track_points,mean_lat,mean_lon,any_landfall,first_landfall_time,first_landfall_lat,first_landfall_lon,first_landfall_wind,first_landfall_nature,peak_intensity,landfall_intensity
1968325N05168,1968-11-22 00:00:00,1968-11-29 18:00:00,1968,120.0,63,15.134920634920634,134.45396825396827,True,1968-11-29 12:00:00,15.7,121.4,30.0,TS,TY,TD
1969105N06148,1969-04-18 06:00:00,1969-04-25 06:00:00,1969,105.0,57,8.428070175438597,130.72456140350877,True,1969-04-23 15:00:00,9.8,126.1,75.0,TS,TY,TY
1970190N12140,1970-07-12 00:00:00,1970-07-16 06:00:00,1970,55.0,35,17.145714285714288,121.21428571428571,True,1970-07-13 21:00:00,17.8,122.0,45.0,TS,TS,TS
1970215N21137,1970-08-06 00:00:00,1970-08-09 06:00:00,1970,40.0,27,18.329629629629633,118.88888888888889,True,1970-08-06 21:00:00,16.4,122.2,40.0,TS,TS,TS
1970250N15140,1970-09-08 00:00:00,1970-09-14 06:00:00,1970,140.0,51,17.258823529411767,122.82549019607843,True,1970-09-11 03:00:00,16.4,121.4,113.0,TS,STY,TY
1970282N08147,1970-10-10 00:00:00,1970-10-18 00:00:00,1970,150.0,65,14.618461538461538,121.47076923076924,True,1970-10-13 06:00:00,13.6,123.5,115.0,TS,STY,TY
1970286N06143,1970-10-14 06:00:00,1970-10-25 12:00:00,1970,130.0,91,10.621978021978022,122.92527472527473,True,1970-10-18 12:00:00,6.7,125.3,110.0,TS,STY,TY
1970299N10157,1970-10-28 06:00:00,1970-11-06 12:00:00,1970,55.0,75,14.474666666666666,122.988,True,1970-11-01 00:00:00,13.9,123.0,35.0,TS,TS,TS
1970318N13157,1970-11-14 06:00:00,1970-11-22 06:00:00,1970,135.0,65,15.155384615384616,127.6246153846154,True,1970-11-19 00:00:00,14.7,122.4,110.0,TS,STY,TY
1971112N11132,1971-04-23 06:00:00,1971-05-04 00:00:00,1971,75.0,87,12.790804597701149,115.45632183908047,True,1971-04-24 03:00:00,11.3,125.4,45.0,TS,TY,TS
1971141N07156,1971-05-25 06:00:00,1971-05-30 06:00:00,1971,90.0,41,16.302439024390242,116.65365853658537,True,1971-05-26 00:00:00,12.5,125.1,85.0,TS,TY,TY
1971160N10135,1971-06-14 12:00:00,1971-06-18 00:00:00,1971,75.0,29,19.03793103448276,118.85517241379311,True,1971-06-15 09:00:00,17.3,122.3,63.0,TS,TY,TS
1971173N09136,1971-06-24 12:00:00,1971-06-28 06:00:00,1971,90.0,31,15.741935483870968,117.40645161290323,True,1971-06-25 00:00:00,11.8,124.9,70.0,TS,TY,TY
1971181N09138,1971-07-02 06:00:00,1971-07-07 00:00:00,1971,125.0,39,14.353846153846153,116.44615384615383,True,1971-07-03 03:00:00,11.3,124.9,50.0,TS,TY,TS
1971190N09141,1971-07-09 12:00:00,1971-07-18 00:00:00,1971,85.0,69,12.51159420289855,125.33623188405798,True,1971-07-14 03:00:00,11.5,125.5,80.0,TS,TY,TY
1971218N08161,1971-08-10 00:00:00,1971-08-17 00:00:00,1971,120.0,57,17.99298245614035,125.16666666666667,True,1971-08-13 18:00:00,17.5,122.0,95.0,TS,TY,TY
1971267N12130,1971-09-27 00:00:00,1971-09-30 18:00:00,1971,70.0,31,18.532258064516128,112.85161290322581,True,1971-09-27 00:00:00,16.9,122.2,30.0,TS,TY,TD
1971274N06134,1971-10-03 06:00:00,1971-10-09 12:00:00,1971,100.0,51,15.60392156862745,115.62745098039215,True,1971-10-03 09:00:00,12.3,125.3,40.0,TS,TY,TS
1971275N10176,1971-10-04 18:00:00,1971-10-13 06:00:00,1971,65.0,56,15.148214285714285,131.95892857142857,True,1971-10-10 12:00:00,17.3,122.4,35.0,TS,TY,TS
1971281N16134,1971-10-07 18:00:00,1971-10-11 00:00:00,1971,65.0,27,15.725925925925926,125.25925925925925,True,1971-10-10 03:00:00,15.0,121.4,38.0,TS,TY,TS
1971291N11134,1971-10-19 12:00:00,1971-10-23 18:00:00,1971,90.0,35,11.985714285714286,117.41714285714286,True,1971-10-20 06:00:00,9.5,125.5,50.0,TS,TY,TS
1972004N10142,1972-01-05 00:00:00,1972-01-15 12:00:00,1972,120.0,85,12.242352941176469,130.11411764705883,True,1972-01-08 00:00:00,10.8,124.8,80.0,TS,TY,TY
1972174N11137,1972-06-22 00:00:00,1972-06-30 18:00:00,1972,80.0,71,19.149295774647886,117.18028169014083,True,1972-06-24 18:00:00,13.3,123.4,65.0,TS,TY,TY
1972187N11126,1972-07-05 00:00:00,1972-07-16 12:00:00,1972,65.0,93,20.550537634408602,118.02043010752688,True,1972-07-05 06:00:00,12.1,125.4,25.0,TS,TY,TD
1972244N12123,1972-08-30 12:00:00,1972-09-04 18:00:00,1972,75.0,43,14.86046511627907,112.81395348837209,True,1972-08-30 15:00:00,12.4,122.0,25.0,TS,TY,TD
1972251N12137,1972-09-09 00:00:00,1972-09-18 12:00:00,1972,75.0,77,14.88051948051948,113.48181818181818,True,1972-09-10 06:00:00,14.8,121.5,45.0,MX,TY,TS
